,freenrg_exp,err_exp,freenrg_fep,err_fep
ejm_31~ejm_50,0.570593500215945,0.5843919005277255,0.0034000000000039,0.07400295489595857
ejm_55~ejm_54,-1.3386363309193219,0.5843919005277255,-0.4510000000000005,0.2494139397333945
jmc_28~jmc_30,0.04066311423196556,0.5843919005277255,-0.8326833333333337,0.2621473979992509
jmc_28~jmc_27,-0.30453443217985,0.5843919005277255,-0.7927666666666665,0.0871565743042052
ejm_55~ejm_42,-0.5823990588620671,0.5843919005277255,0.38649999999999984,0.1994500990222866
jmc_23~jmc_27,0.42503303437977147,0.5843919005277255,0.16134999999999936,0.12886111580560938
ejm_48~ejm_42,-0.7879795873235427,0.5843919005277255,0.8906999999999998,0.4889832001204132
ejm_43~ejm_42,-1.5348282995201927,0.5843919005277255,-0.3247166666666666,0.550705889694712
ejm_31~ejm_49,1.8102759274168925,0.5843919005277255,0.17660000000000176,0.3981351973053034
ejm_54~ejm_42,0.7562372720572548,0.5843919005277255,1.225466666666667,0.11254696402440667
ejm_42~ejm_31,0.2417225775718463,0.5843919005277255,0.30948333333333267,0.14875799231563272
ejm_42~ejm_50,0.8123160777877914,0.5843919005277255,0.28506666666666663,0.054800679233423466
ejm_42~ejm_49,2.0519985049887386,0.5843919005277255,0.5410599999999997,0.46305472959467775
ejm_48~ejm_31,-0.5462570097516964,0.5843919005277255,1.8663499999999988,0.7219759625500004
jmc_28~ejm_46,-0.34067648129022077,0.5843919005277255,-0.350216666666667,0.17586122827704548
ejm_46~jmc_30,0.3813395955221863,0.5843919005277255,-0.31705000000000005,0.2309823784765122
jmc_23~ejm_31,2.174830422222044,0.5843919005277255,1.4983833333333332,0.4636815195919621
ejm_47~ejm_42,-0.08655188556276797,0.5843919005277255,0.34818,0.833587295608565
jmc_28~jmc_23,-0.7295674665596215,0.5843919005277255,-0.8507833333333336,0.04289558187557809
ejm_44~ejm_43,-0.8507914419315465,0.5843919005277255,-2.0207666666666673,0.47794860160667674
ejm_46~ejm_31,1.7859394369526433,0.5843919005277255,1.1020999999999954,0.5440082474865001
ejm_47~ejm_31,0.15517069200907832,0.5843919005277255,0.6255666666666689,0.38184696556488545
ejm_44~ejm_42,-2.3856197414517393,0.5843919005277255,-1.9874333333333318,0.630387669436655
jmc_30~ejm_50,1.9751933416464023,0.5843919005277255,-2.0195333333333325,2.797726212440699
