,freenrg_exp,err_exp,freenrg_fep,err_fep
ejm_31,0.2039392865712465,0.41322747573364904,1.1807985455425207,0.5178235048333821
ejm_42,-0.037783291000599795,0.41322747573364904,0.5591453742087975,0.5614617115780142
ejm_43,1.497045008519593,0.41322747573364904,0.4753330348627709,0.8096730566493868
ejm_44,2.3478364504511395,0.41322747573364904,2.48280645408942,0.7508933063137623
ejm_45,0.19138806024817342,0.41322747573364904,2.6415348020469516,0.8320722437161101
ejm_46,-1.582000150381397,0.41322747573364904,-1.1742376612518348,0.49449187770144903
ejm_47,0.04876859456216817,0.41322747573364904,0.3433329429660844,0.34260164673977017
ejm_48,0.7501962963229429,0.41322747573364904,-1.4271626612518356,0.7597244432165192
ejm_49,2.014215213988139,0.41322747573364904,-0.04236266125183574,0.5690766081827875
ejm_50,0.7745327867871915,0.41322747573364904,0.6963363081983666,0.4785898393913847
ejm_54,-0.7940205630578545,0.41322747573364904,-1.0375771213010698,0.5591486634343009
ejm_55,0.5446157678614674,0.41322747573364904,-0.6506646021823623,0.3563037573424656
jmc_23,-1.9708911356507977,0.41322747573364904,-1.5272042241750956,0.7029075967738828
jmc_27,-1.5458581012710262,0.41322747573364904,-1.312519753198278,0.5836304167122047
jmc_28,-1.2413236690911762,0.41322747573364904,-0.8238475264864173,0.9351060546637813
jmc_30,-1.2006605548592106,0.41322747573364904,-1.0438735895643525,0.7571278054546813
