# lambda_val.val 0.22200
    1        28.9128416456
    2        26.2922764928
    3        22.7637654801
    4        29.2565747312
    5        22.7590245634
    6        22.7838520059
    7        23.2411424075
    8        21.8649053522
    9        24.5182460152
   10        19.1870377100
   11        27.6479426660
   12        24.1755954608
   13        26.1803194849
   14        21.3977662029
   15        23.4654594257
   16        25.7593023301
   17        20.9326867536
   18        21.1726500584
   19        18.4365987273
   20        29.2076595479
   21        26.5622530551
   22        27.2986864737
   23        25.7060353717
   24        18.9104903153
   25        22.9052230258
   26        23.4196077128
   27        19.1162438721
   28        26.9446447910
   29        21.2296530320
   30        21.1445312553
   31        20.2518151243
   32        25.2405912175
   33        24.8255660645
   34        19.4638297297
   35        24.5457633815
   36        24.0408299511
   37        25.4284867975
   38        25.2035040941
   39        19.2287908162
   40        26.9477849583
   41        21.9988235979
   42        23.8481114060
   43        17.5102093297
   44        31.3562849591
   45        21.9581475342
   46        22.8633817366
   47        23.4342465420
   48        31.6285035695
   49        20.9897821890
   50        23.2567786921
   51        19.4995422705
   52        27.5383417786
   53        18.3282532092
   54        20.6371403342
   55        21.9488723927
   56        19.0593093560
   57        22.7303320051
   58        21.6081578207
   59        25.1442434072
   60        19.0523540821
